n,平凡算法,递归算法,2路链式求和,4路链式求和
2,0.08408,0.0964,0.11042,0.17814
4,0.08458,0.11638,0.19884,0.21404
8,0.15998,0.2171,0.48826,0.4278
16,0.35336,0.48952,0.54342,0.60814
32,0.83644,0.94128,1.41088,1.08158
64,1.46366,1.95542,1.92696,2.78702
128,3.06324,4.36884,3.61364,5.0029
256,7.1479,9.1067,8.36702,9.7741
512,15.0029,15.6106,13.1639,13.2219
1024,29.1939,32.0558,26.0629,26.0553
2048,59.6842,54.9409,58.3305,57.6475
4096,121.46,111.444,122.486,111.001
8192,245.202,382.013,386.696,380.695
16384,842.001,767.32,836.295,756.898
32768,1713.94,1512.3,1657.75,1475.95
